member_casual,hour_of_day,rides_per_hour
casual,0,308
casual,1,223
casual,2,135
casual,3,100
casual,4,55
casual,5,135
casual,6,330
casual,7,720
casual,8,1163
casual,9,1102
casual,10,1682
casual,11,2747
casual,12,3800
casual,13,4651
casual,14,5144
casual,15,5056
casual,16,5034
casual,17,4615
casual,18,2749
casual,19,1627
casual,20,1024
casual,21,898
casual,22,592
casual,23,412
member,0,1397
member,1,825
member,2,511
member,3,372
member,4,1025
member,5,5132
member,6,14746
member,7,31429
member,8,41089
member,9,18768
member,10,12776
member,11,15687
member,12,18001
member,13,17978
member,14,17201
member,15,22848
member,16,39214
member,17,47744
member,18,27985
member,19,16534
member,20,9698
member,21,7042
member,22,4236
member,23,2387