member_casual,clean_start_station,ride_count,rank
casual,lake shore dr & monroe st,1586,1
casual,streeter dr & grand ave,1515,2
casual,shedd aquarium,995,3
casual,millennium park,775,4
casual,michigan ave & oak st,629,5
casual,theater on the lake,564,6
casual,michigan ave & washington st,492,7
casual,dusable harbor,487,8
casual,adler planetarium,462,9
casual,wabash ave & grand ave,411,10
member,canal st & adams st,7541,1
member,clinton st & madison st,6492,2
member,clinton st & washington blvd,5781,3
member,kingsbury st & kinzie st,4457,4
member,columbus dr & randolph st,4051,5
member,franklin st & monroe st,3543,6
member,canal st & madison st,3399,7
member,clinton st & lake st,3384,8
member,larrabee st & kingsbury st,3349,9
member,daley center plaza,3068,10